dimension,subgroup,n,rmse,gap_score,mode,repeat,fold,model
year,2018,88,0.10069148543230398,0.0,A,1,0,nearest_right
year,2019,139,0.13749802706196593,0.0,A,1,0,nearest_right
year,2020,146,0.10113740359114803,0.0,A,1,0,nearest_right
year,2021,132,0.1482485542722153,0.0,A,1,0,nearest_right
year,2022,131,0.1183714411236469,0.0,A,1,0,nearest_right
year,2023,124,0.09362563462912564,1.91,A,1,0,nearest_right
year,2024,137,0.0907895012536155,2.76,A,1,0,nearest_right
confidence_bin,low,98,0.10148376336894456,0.0,A,1,0,nearest_right
confidence_bin,medium,848,0.12089125015793276,0.0,A,1,0,nearest_right
confidence_bin,high,254,0.10733176706739402,0.0,A,1,0,nearest_right
overall,all,1200,0.09444063709953533,1.67,A,1,0,mean_neighbors
seen_polygon,False,1024,0.09590642305271344,1.23,A,1,0,mean_neighbors
seen_polygon,True,176,0.08541495413324779,4.38,A,1,0,mean_neighbors
crop_type,зерновые,221,0.07732916747729039,6.8,A,1,0,mean_neighbors
crop_type,озимая пшеница,814,0.10199934766357611,0.0,A,1,0,mean_neighbors
crop_type,пастбища/зерновые,127,0.0701068862785112,8.97,A,1,0,mean_neighbors
crop_type,подсолнечник,38,0.08711083781155897,3.87,A,1,0,mean_neighbors
source_label,landsat,499,0.08349267998012366,4.95,A,1,0,mean_neighbors
source_label,modis,180,0.11832724645374174,0.0,A,1,0,mean_neighbors
source_label,s2,521,0.09502052753066778,1.49,A,1,0,mean_neighbors
gap_length,1,851,0.08843393819342209,3.47,A,1,0,mean_neighbors
